Depth,AC,DEN,CN,LLD,GR,Pp
3110.875,82.345,2.545,22.705,2.94,82.174,33.68071017
3111,82.572,2.542,22.556,2.971,82.002,33.96589594
3111.125,82.12,2.54,22.422,3.049,81.744,33.40704842
3111.25,81.067,2.537,22.254,3.143,81.221,32.05705377
3111.375,80.102,2.533,21.847,3.196,80.51,30.76505391
3111.5,79.088,2.534,21.192,3.32,79.896,29.34711471
3111.625,77.66,2.537,20.605,3.389,79.111,27.23714249
3112.5,78.651,2.553,19.393,4.116,77.31,28.74658357
3112.625,80.949,2.55,19.84,4.006,78.777,31.94493014
3112.75,81.551,2.544,20.365,3.912,81.11,32.73415893
3112.875,80.9,2.531,21.144,3.692,83.255,31.88801267
3113,80.066,2.518,21.766,3.478,84.181,30.76734408
3113.125,79.96,2.51,22.055,3.377,84.526,30.6254368
3113.25,81.543,2.503,22.295,3.194,84.181,32.73958998
3113.375,83.184,2.494,22.662,3.119,83.559,34.78476785
3113.5,84.645,2.489,23.064,3.009,83.267,36.49098114
3113.625,85.859,2.49,23.335,2.928,83.054,37.83307855
3113.75,85.99,2.494,23.594,2.886,82.174,37.97736783
3113.875,85.652,2.504,23.932,2.802,80.365,37.61722865
3114,85.313,2.515,24.165,2.743,78.928,37.25094467
3114.125,85.113,2.521,24.217,2.729,77.77,37.03400472
3114.25,85.17,2.525,24.201,2.736,76.831,37.10094805
3114.375,85.284,2.529,24.163,2.789,76.516,37.2305489
3114.5,85.317,2.532,24.212,2.828,76.52,37.27067853
3114.625,85.002,2.533,24.318,2.913,76.548,36.92605742
3114.75,84.546,2.536,24.46,2.947,76.697,36.41740089
3114.875,84.461,2.54,24.719,2.987,76.818,36.32465217
3115,84.683,2.544,25.078,3.004,76.53,36.58009099
3115.125,85.478,2.544,25.438,3.009,75.865,37.4662018
3115.25,86.234,2.543,25.877,3.02,74.48,38.28276369
3115.375,86.396,2.539,26.463,3.035,73.443,38.45750094
3115.5,86.231,2.536,26.693,3.044,73.355,38.28721306
3115.625,85.598,2.534,26.537,3.056,73.72,37.61220056
3115.75,84.747,2.533,26.231,3.046,74.811,36.67528344
3115.875,84.112,2.535,25.833,3.029,75.832,35.95534286
3116,83.553,2.538,25.694,2.985,76.103,35.30604192
3116.125,83.219,2.54,25.678,2.944,75.957,34.9123109
3116.25,83.494,2.541,25.556,2.926,75.25,35.24397048
3116.375,83.946,2.542,25.073,2.899,74.719,35.77844028
3116.5,84.417,2.541,24.559,2.89,74.727,36.32465432
3116.625,84.771,2.541,24.465,2.885,74.918,36.72920673
3116.75,84.716,2.54,24.65,2.891,75.267,36.67118596
3116.875,84.486,2.541,25.211,2.895,75.594,36.41478597
3117,84.138,2.543,25.591,2.901,75.795,36.02013426
3117.125,83.339,2.544,25.563,2.906,75.913,35.0868898
3117.25,82.351,2.544,25.397,2.91,75.569,33.88764877
3117.375,81.709,2.543,25.142,2.925,74.645,33.08230828
3117.5,81.172,2.541,24.941,2.944,73.918,32.39205925
3117.625,80.732,2.541,24.749,2.953,73.494,31.81513177
3117.75,80.736,2.541,24.462,2.968,73.845,31.82442114
3117.875,81.04,2.543,24.016,2.971,74.797,32.23080112
3118,81.565,2.546,23.83,2.96,75.354,32.91739685
3118.125,82.662,2.548,23.99,2.924,75.601,34.29912712
3118.25,83.864,2.549,24.342,2.902,74.998,35.74100268
3118.375,84.68,2.547,25.04,2.866,73.355,36.68067743
3118.5,85.462,2.545,25.621,2.851,71.762,37.55217907
3118.625,86.338,2.544,25.723,2.85,70.069,38.49551219
3118.75,86.648,2.545,25.507,2.857,67.688,38.82385868
3118.875,86.325,2.554,24.705,2.866,65.644,38.48943623
3120,88.451,2.547,26.215,2.767,72.604,40.67099826
3120.125,88.587,2.54,26.11,2.694,72.314,40.80602328
3120.25,88.798,2.536,26.266,2.62,71.089,41.01203696
3120.375,89.128,2.532,27.083,2.59,69.777,41.32875389
3120.5,89.597,2.528,28.228,2.551,68.86,41.77036002
3120.625,90.252,2.525,28.919,2.538,67.862,42.37233003
3120.75,90.567,2.521,29.35,2.537,66.644,42.65837571
3120.875,90.471,2.514,29.313,2.544,66.519,42.5764225
3121,90.167,2.508,28.785,2.552,67.3,42.30674051
3121.125,89.611,2.506,28.383,2.555,68.29,41.80200674
3121.25,89.375,2.504,28.112,2.561,69.037,41.58657294
3121.375,89.553,2.505,27.985,2.569,68.585,41.75581054
3121.5,89.826,2.507,27.933,2.596,67.8,42.01113796
3121.625,89.98,2.508,27.776,2.637,67.153,42.15561422
3121.75,89.71,2.51,27.482,2.661,66.785,41.91204045
3121.875,89.351,2.513,26.952,2.72,66.68,41.58289802
3122,89.012,2.515,26.541,2.784,66.324,41.26798889
3122.125,88.7,2.517,26.386,2.813,65.667,40.9746961
3122.25,88.433,2.52,26.3,2.856,64.903,40.72133924
3122.375,88.184,2.524,26.291,2.885,65.261,40.48286656
3122.5,87.935,2.528,26.374,2.898,66.186,40.24199893
3122.625,87.876,2.528,26.418,2.925,67.083,40.18745395
