Depth,AC,nAC,Pv,DEN,CN,LLD,GR
2421,89.193,92.47242574,55.75563,2.436,25.29,1.514,50.17
2421.125,89.262,92.47011974,55.75850875,2.425,25.188,1.511,49.875
2421.25,89.346,92.4678138,55.7613875,2.412,25.06,1.508,49.622
2421.375,89.432,92.46550791,55.76426625,2.403,24.947,1.508,49.337
2421.5,89.521,92.46320208,55.767145,2.4,24.864,1.504,48.676
2421.625,89.638,92.46089631,55.77002375,2.399,24.898,1.496,47.877
2421.75,89.834,92.45859059,55.7729025,2.398,24.954,1.48,46.938
2421.875,90.067,92.45628493,55.77578125,2.397,25.059,1.462,46.377
2422,90.24,92.45397933,55.77866,2.394,25.226,1.435,46.223
2422.125,90.444,92.45167379,55.78153875,2.391,25.657,1.405,46.018
2422.25,90.741,92.44936831,55.7844175,2.383,26.283,1.374,45.553
2422.375,91.081,92.44706288,55.78729625,2.375,26.451,1.355,44.727
2422.5,91.218,92.44475751,55.790175,2.37,26.399,1.345,43.58
2422.625,91.306,92.4424522,55.79305375,2.365,25.658,1.338,42.665
2422.75,91.275,92.44014694,55.7959325,2.358,24.749,1.337,42.618
2422.875,91.178,92.43784174,55.79881125,2.352,24.334,1.341,43.479
2423,91.141,92.4355366,55.80169,2.351,24.039,1.357,45.305
2423.125,91.078,92.43323152,55.80456875,2.352,24.042,1.381,47.349
2423.25,90.888,92.4309265,55.8074475,2.359,24.083,1.422,49.576
2423.375,90.456,92.42862153,55.81032625,2.369,24.377,1.464,51.265
2423.5,89.807,92.42631662,55.813205,2.376,24.757,1.523,53.103
2423.625,89.04,92.42401177,55.81608375,2.382,25.281,1.589,54.869
2423.75,88.032,92.42170697,55.8189625,2.387,25.588,1.657,56.058
2423.875,87.193,92.41940223,55.82184125,2.388,25.363,1.699,56.217
2424,87.167,92.41709755,55.82472,2.386,25.11,1.725,55.373
2424.125,87.28,92.41479293,55.82759875,2.384,24.895,1.747,54.322
2424.25,87.696,92.41248837,55.8304775,2.383,24.845,1.754,53.064
2424.375,88.145,92.41018386,55.83335625,2.385,24.673,1.75,52.294
2424.5,88.236,92.40787941,55.836235,2.387,24.407,1.729,51.758
2424.625,88.284,92.40557502,55.83911375,2.389,23.922,1.702,51.156
2424.75,88.256,92.40327068,55.8419925,2.386,23.546,1.661,50.421
2424.875,88.256,92.4009664,55.84487125,2.38,23.872,1.625,49.724
2425,88.424,92.39866218,55.84775,2.375,24.358,1.584,49.049
2425.125,88.678,92.39635802,55.85062875,2.371,25.297,1.541,48.506
2425.25,89.146,92.39405391,55.8535075,2.371,26.334,1.499,48.376
2425.375,89.679,92.39174987,55.85638625,2.375,26.898,1.472,48.55
2425.5,89.881,92.38944588,55.859265,2.378,27.286,1.453,48.844
2425.625,90.014,92.38714194,55.86214375,2.381,27.071,1.436,49.165
2425.75,89.961,92.38483807,55.8650225,2.384,26.549,1.423,49.493
2425.875,89.754,92.38253425,55.86790125,2.384,26.018,1.417,49.699
2426,89.555,92.38023049,55.87078,2.382,25.546,1.418,49.742
2426.125,89.352,92.37792678,55.87365875,2.379,25.31,1.423,49.762
2426.25,89.159,92.37562314,55.8765375,2.372,25.209,1.435,49.784
2426.375,89.071,92.37331955,55.87941625,2.366,25.285,1.449,49.929
2426.5,89.229,92.37101602,55.882295,2.361,25.413,1.475,50.166
2426.625,89.475,92.36871255,55.88517375,2.357,25.73,1.508,50.254
2426.75,89.937,92.36640913,55.8880525,2.352,26.113,1.552,49.904
2426.875,90.451,92.36410577,55.89093125,2.349,26.19,1.591,49.299
2427,90.552,92.36180247,55.89381,2.348,26.214,1.644,49.108
2427.125,90.565,92.35949923,55.89668875,2.347,26.218,1.707,49.515
2427.25,90.424,92.35719604,55.8995675,2.343,26.467,1.784,51.452
2427.375,90.402,92.35489291,55.90244625,2.335,27.209,1.849,54.109
2427.5,91.069,92.35258984,55.905325,2.328,27.979,1.935,58.051
2427.625,91.921,92.35028683,55.90820375,2.323,28.676,2.03,62.223
2427.75,92.979,92.34798387,55.9110825,2.32,29.306,2.129,66.087
2427.875,93.248,92.34568097,55.91396125,2.322,29.823,2.192,68.066
2428,92.002,92.34337813,55.91684,2.327,30.327,2.213,68.462
2428.125,90.707,92.34107534,55.91971875,2.332,30.861,2.213,68.536
2428.25,89.856,92.33877262,55.9225975,2.337,31.594,2.166,68.016
2428.375,91.057,92.33646995,55.92547625,2.341,33.23,2.106,67.592
2428.5,94.976,92.33416734,55.928355,2.343,35.067,2.034,67.64
2432.375,96.854,92.26281484,56.01759625,2.366,31.198,2.012,67.61
2432.5,94.163,92.26051406,56.020475,2.363,28.043,2.026,63.508
