Depth,AC,DEN,Ip,Pp
3307.25,96.366,2.523,7980.100865,52.72393685
3307.375,95.172,2.517,8061.001135,51.88282584
3307.5,93.632,2.513,8180.562201,50.74065355
3307.625,92.925,2.515,8249.362389,50.19588629
3307.75,92.48,2.52,8305.536332,49.84683605
3307.875,91.614,2.527,8407.335123,49.14677434
3308,89.594,2.535,8624.104293,47.41511851
3308.125,87.597,2.538,8831.151752,45.56326522
3308.25,87,2.536,8884.744828,44.98316238
3308.375,87.118,2.532,8858.715765,45.10353628
3308.5,87.825,2.528,8773.520068,45.79410886
3308.625,88.26,2.526,8723.371856,46.21092889
3308.75,88.348,2.525,8711.232852,46.29742822
3308.875,88.575,2.525,8688.907705,46.51319473
3309.5,86.442,2.529,8917.415145,44.46315926
3309.625,84.896,2.529,9079.80588,42.85190667
3309.75,84.767,2.528,9090.027959,42.71635931
3309.875,85.256,2.528,9037.890588,43.2449611
3310,86.291,2.527,8925.955198,44.32531209
3310.125,86.981,2.526,8851.643462,45.0220666
3310.25,87.003,2.526,8849.405193,45.04769065
3310.375,86.669,2.527,8887.025349,44.71886261
3310.5,85.833,2.533,8994.890077,43.87007471
3310.625,85.193,2.541,9091.084948,43.20131293
3310.75,85.093,2.546,9119.678469,43.09850578
3310.875,85.271,2.55,9114.939428,43.29202043
3311,86.086,2.55,9028.645773,44.14665462
3311.125,87.383,2.547,8884.171979,45.44766799
3311.25,88.476,2.545,8767.530178,46.49343555
3311.375,89.649,2.544,8649.41271,47.56642579
3311.5,91.535,2.544,8471.198995,49.19006102
3311.625,93.585,2.544,8285.635519,50.82695359
3311.75,95.061,2.54,8144.160066,51.93117753
3311.875,96.482,2.535,8008.416078,52.93929128
3312,97.825,2.525,7867.314081,53.84577806
3312.125,97.811,2.518,7846.626658,53.84022275
3312.25,96.919,2.518,7918.84357,53.24882676
3312.375,95.708,2.522,8031.779997,52.41333745
3312.5,94.221,2.533,8194.122329,51.33443968
3312.625,93.691,2.542,8269.754832,50.93765878
3312.75,94.083,2.545,8245.017697,51.23831749
3312.875,94.851,2.543,8171.83161,51.81139984
3313,96.03,2.538,8055.632615,52.65839549
3313.125,96.569,2.534,7998.044921,53.03565115
3313.25,96.386,2.534,8013.230137,52.91328632
3313.375,95.991,2.537,8055.730225,52.64206897
3313.5,95.653,2.545,8109.688144,52.40736661
3313.625,95.904,2.551,8107.532533,52.58832435
